uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Presidente Prudente,Rodovia Raposo Tavares Km 572,Km 572 -,Limoeiro,18 3229 2000,2522
SP,Sao Paulo,Avenida Interlagos,1329 - Universidade Ibirapuera,Jardim Umuarama,1150911193,1072704
SC,Balneario Camboriu,Avenida do Estado,3847 -,Centro,(47)3264-6813,8327
PR,Marechal Candido Rondon,Rua Sete de Setembro,2341 - Isepe,Centro,(45) 3284 7400,658724
MG,Montes Claros,Rua Monte Pascoal,284 -,Ibituruna,(038)32147100,133859
SC,Itapiranga,Rua Carlos Kummer,100 -,Universitário,49 36788700,101642
TO,Palmas,Rodovia To 50 Km 08,S/n -,Loteamento Coqueirinho - 2ª Etapa,(63)3219.9601,8546
TO,Palmas,Avenida Teotônio Segurado,S/n - 1501 Sul,??rea de Expansão Sul,(63) 3219 8018,686979
PR,Curitiba,Rua Imaculada Conceição,1155 -,Prado Velho,(41) 3271-1518,657676
BA,Jequie,Rua Antonio Orrico,357 -,Campo do América,(73) 3527 8100,658649
PR,Londrina,Rodovia Mabio Gonçalves Palhano,3000 -,Gleba Fazenda Palhano,33757404,1075967
BA,Jequie,Avenida Marginal Jequiezinho,605 -,Suíça,73-35261770,1070716
MG,Caratinga,Rua João Pinheiro,147 -,Centro,(33) 3322-6321 / (33) 3322-6322,658586
PR,Londrina,Rua Edwy Taques de Araújo,1.100 -,Gleba Palhano,(43) 3373-7333,658637
PR,Londrina,Avenida Paris,675 -,Jardim Piza,(43) 3371-7473  (31) 2126-0820,1000701
SC,Blumenau,Rua Dr. Pedro Zimmermann,385 -,Salto do Norte,4733019000,24604
SC,Sao Jose,Rua Célio Veiga,220 - - Até 1708/1709,Jardim Cidade de Florianópolis,(11) 5586-4295,1076296
SC,Sao Jose,Rodovia Br-101,"S/n - - do Km 206,001 Ao Km 207,999 - Lado ??mpar",Kobrasol,4832492025,1059316
SP,Barretos,Avenida Professor Roberto Frade Monte,389 -,Aeroporto,(17) 3321 6414 / (17)3321-6411,659572
SP,Jaguariuna,Rua Amazonas,504 -,Jardim Dom Bosco,1938378500,658522
SP,Jaguariuna,Rodovia Adhemar de Barros Sp 340,S/n  -,Tanquinho Velho,1938378500,3247
RO,Porto Velho,Rua Araras,241 -,Jardim Eldorado,(69) 3217 8900,658249
MG,Betim,Avenida Arthur da Silva Bernardes,S/n -,Ingá,(31) 3319-4444 / 4445 / 4384,1855
PA,Redencao,Av Brasil,1435 -,Alto Paraná,(94)34245133,1048727
MG,Guaxupe,Avenida Dona Floriana,463 - Térreo,Centro,(35) 3551 5267,659655
GO,Alto Horizonte,"Avenida Osmar Rosa da Silva, Esq. C/ Rua Belém,","04 - Lotes 01 A 09, Quadra 04",Setor Sul,6182806644,1064977
AC,Acrelandia,Rua Geraldo Barbosa,395 -,Centro,(68)3228-3287,9912
